title, artist, album, type, year, bpmHuman, bpmFromFile, duration, path, tstart, tend,author, singer, composer, ID, size
Alguien Le Dice Al Tango,Edmundo Rivero,Tango De Colección 12,tango,1965,0.0,0.0,149200,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1965-Alguien Le Dice Al Tango-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,0,146520,Unknown,Unknown,Unknown,2111,3583991
Pedacito de cielo,Orquesta Horacio Salgán ,Tango De Colección 12,vals,1970,0.0,0.0,184300,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1970-Pedacito De Cielo-EDMUNDO RIVERO-TANGO DE COLECCION 12-VALS.mp3,8,181179,Homero Expósito, Edmundo Rivero,Enrique Francini; Héctor Stamponi,2112,4427223
Vamos Vamos Zaino Viejo,Edmundo Rivero,Los clásicos argentinos - VOL 21,tango,0,0.0,0.0,199700,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/0-Vamos Vamos Zaino Viejo-EDMUNDO RIVERO-LOS CLASICOS ARGENTINOS - VOL 21-TANGO.mp3,582,196481,Unknown,Unknown,Unknown,2113,3197056
La Casita De Mis Viejos,Edmundo Rivero,Tango De Colección 12,tango,1957,0.0,0.0,314155,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1957-La Casita De Mis Viejos-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,0,310804,Unknown,Unknown,Unknown,2114,7546871
Los Ejes De Mi Carreta,Edmundo Rivero,Tango De Colección 12,tango,1972,0.0,0.0,151400,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1972-Los Ejes De Mi Carreta-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,0,146760,Unknown,Unknown,Unknown,2115,3637281
Nostalgias,Edmundo Rivero ,laurence,tango,1960,0.0,0.0,174100,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/0-Nostalgias-EDMUNDO RIVERO-LAURENCE-TANGO.mp3,8361,163777,Enrique Cadícamo, acomp. de orquesta dir. Mario Demarco,Juan Carlos Cobián,2116,2795240
Amablemente,Edmundo Rivero,Tango De Colección 12,tango,1964,0.0,0.0,83800,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1964-Amablemente-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,16,80492,Unknown,Unknown,Unknown,2117,2014763
Mi Vieja Viola,Edmundo Rivero,Tango De Colección 12,tango,1967,0.0,0.0,185500,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1967-Mi Vieja Viola-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,0,180580,Unknown,Unknown,Unknown,2118,4454182
Para Vos, Hermano Tango,Edmundo Rivero,Tango Buenos Aires 1904-1950 CD1,tango,2001,0.0,0.0,169800,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/2001-Para Vos, Hermano Tango-EDMUNDO RIVERO-TANGO BUENOS AIRES 1904-1950 CD1-TANGO.mp3,239,165585,Unknown,Unknown,Unknown,2119,6795433
Yuyo verde,Edmundo Rivero ,Tango De Colección 12,tango,1976,0.0,0.0,154300,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1948-Yuyo Verde-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,0,150057,Homero Expósito, acomp. de Osvaldo Tarantino,Domingo Federico,2120,3706244
La Señora Del Chalet,Edmundo Rivero,Los clásicos argentinos - VOL 11,milonga,0,0.0,0.0,127900,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/0-La Señora Del Chalet-EDMUNDO RIVERO-LOS CLASICOS ARGENTINOS - VOL 11-MILONGA.mp3,931,125205,Unknown,Unknown,Unknown,2121,2050176
El Ùltimo Organito,Edmundo Rivero,Tango De Colección 12,tango,1949,0.0,0.0,181500,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1949-El Ùltimo Organito-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,56,177084,Unknown,Unknown,Unknown,2122,4359514
Madame Ivonne (Madame Yvonne),Edmundo Rivero ,Tango De Colección 12,tango,1973,0.0,0.0,158000,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1973-Madame Ivonne-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,0,154421,Enrique Domingo Cadícamo, guitarras,Eduardo Pereyra,2123,3794642
Cuando me entrés a fallar,Edmundo RIVERO,Tango De Colección 12,tango,1952,0.0,0.0,137000,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1952-Cuando Me Entres A Fallar-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,0,133413,Celedonio Flores, ,José María Aguilar,2124,3290583
Pucherito De Gallina,Edmundo Rivero,Los clásicos argentinos - VOL 1,tango,0,0.0,0.0,149700,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/0-Pucherito De Gallina-EDMUNDO RIVERO-LOS CLASICOS ARGENTINOS - VOL 1-TANGO.mp3,185,145397,Unknown,Unknown,Unknown,2125,2398336
Atenti Pebeta,Edmundo Rivero,Tango De Colección 12,tango,1968,0.0,0.0,147000,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1968-Atenti Pebeta-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,0,143400,Unknown,Unknown,Unknown,2126,3530701
Milonga Del Consorcio,Edmundo Rivero,Tango De Colección 12,milonga,1975,0.0,0.0,137400,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1975-Milonga Del Consorcio-EDMUNDO RIVERO-TANGO DE COLECCION 12-MILONGA.mp3,0,133938,Unknown,Unknown,Unknown,2128,3301241
El Ciruja,Edmundo Rivero,Tango De Colección 12,tango,1964,0.0,0.0,149600,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1964-El Ciruja-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,0,145893,Unknown,Unknown,Unknown,2129,3594022
El Conventillo,Edmundo Rivero,Tango De Colección 12,milonga,1967,0.0,0.0,135400,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1967-El Conventillo-EDMUNDO RIVERO-TANGO DE COLECCION 12-MILONGA.mp3,0,131159,Unknown,Unknown,Unknown,2130,3252967
Confesión,Edmundo Rivero,Tango De Colección 12,tango,1959,0.0,0.0,205200,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1959-Confesión-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,0,201914,Unknown,Unknown,Unknown,2131,4928774
Soy del noventa (Soy del 90),Orquesta Horacio Salgán ,Tango De Colección 12,tango,1962,0.0,0.0,230600,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1962-Soy Del Noventa-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,0,226562,Carlos Waiss, Edmundo Rivero,Tito Ribero,2132,5537532
Tortazos,Edmundo Rivero,Tango De Colección 12,milonga,1967,0.0,0.0,134900,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1967-Tortazos-EDMUNDO RIVERO-TANGO DE COLECCION 12-MILONGA.mp3,0,130734,Unknown,Unknown,Unknown,2133,3240428
La Toalla Mojada,Edmundo Rivero,Tango De Colección 12,tango,1964,0.0,0.0,136100,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1964-La Toalla Mojada-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,0,131971,Unknown,Unknown,Unknown,2134,3270521
Malevaje,Edmundo Rivero,Tango De Colección 12,tango,1959,0.0,0.0,200500,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/1959-Malevaje-EDMUNDO RIVERO-TANGO DE COLECCION 12-TANGO.mp3,0,197190,Unknown,Unknown,Unknown,2135,4814045
Donde Estás,Edmundo Rivero,Los clásicos argentinos - VOL 18,tango,0,0.0,0.0,187200,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/0-Donde Estás-EDMUNDO RIVERO-LOS CLASICOS ARGENTINOS - VOL 18-TANGO.mp3,106,182963,Unknown,Unknown,Unknown,2136,2998400
Tu El Cielo Y Tu,Alberto di Paulo,Alma de Bohemio,tango,0,0.0,0.0,140100,/home/hoonakker/media/tango-propres-HQ/TANGO/ALBERTO DI PAULO/0-Tu El Cielo Y Tu-ALBERTO DI PAULO-ALMA DE BOHEMIO-TANGO.mp3,0,131485,Unknown,Unknown,Unknown,2137,1814543
Patio Mío,Aída Luz,Los clásicos argentinos - VOL 27,tango,0,0.0,0.0,198400,/home/hoonakker/media/tango-propres-HQ/TANGO/AIDA LUZ/0-Patio Mío-AIDA LUZ-LOS CLASICOS ARGENTINOS - VOL 27-TANGO.mp3,713,195879,Unknown,Unknown,Unknown,2138,3176576
En Carne Propia,María de la Fuente,Los clásicos argentinos - VOL 15,tango,0,0.0,0.0,194300,/home/hoonakker/media/tango-propres-HQ/TANGO/MARIA DE LA FUENTE/0-En Carne Propia-MARIA DE LA FUENTE-LOS CLASICOS ARGENTINOS - VOL 15-TANGO.mp3,458,190225,Unknown,Unknown,Unknown,2139,3113088
Track 04,artist,title,tango,0,0.0,0.0,199100,/home/hoonakker/media/tango-propres-HQ/TANGO/ARTIST/0-Track 04-ARTIST-TITLE-TANGO.mp3,0,196513,Unknown,Unknown,Unknown,2140,3186560
Buscandote,Cuarteto de tango Mulenga,Unknown,tango,0,0.0,0.0,201000,/home/hoonakker/media/tango-propres-HQ/TANGO/CUARTETO DE TANGO MULENGA/0-BUSCANDOTE-CUARTETO DE TANGO MULENGA-UNKNOWN-TANGO.mp3,1767,198761,Unknown,Unknown,Unknown,2141,3228289
Mal De Amores,Mal De Amores,Tango - La Selection Radio Latina,tango,2007,0.0,0.0,190400,/home/hoonakker/media/tango-propres-HQ/TANGO/MAL DE AMORES/2007-Mal De Amores-MAL DE AMORES-TANGO - LA SELECTION RADIO LATINA-TANGO.mp3,0,189502,Unknown,Unknown,Unknown,2142,7620608
La Brisa,Carlos Dante,Los clásicos argentinos - VOL 29,tango,0,0.0,0.0,161600,/home/hoonakker/media/tango-propres-HQ/TANGO/CARLOS DANTE/0-La Brisa-CARLOS DANTE-LOS CLASICOS ARGENTINOS - VOL 29-TANGO.mp3,322,158872,Unknown,Unknown,Unknown,2143,2588800
Al Pie De La Santa Cruz,Carlos Dante,Los clásicos argentinos - VOL 8,tango,0,0.0,0.0,175400,/home/hoonakker/media/tango-propres-HQ/TANGO/CARLOS DANTE/0-Al Pie De La Santa Cruz-CARLOS DANTE-LOS CLASICOS ARGENTINOS - VOL 8-TANGO.mp3,67,172187,Unknown,Unknown,Unknown,2144,2809984
Pequeña,Carlos Dante,Los clásicos argentinos - VOL 15,vals,0,0.0,0.0,134000,/home/hoonakker/media/tango-propres-HQ/TANGO/CARLOS DANTE/0-Pequeña-CARLOS DANTE-LOS CLASICOS ARGENTINOS - VOL 15-VALS.mp3,831,131143,Unknown,Unknown,Unknown,2145,2148480
La Pastora,Carlos Dante,Los clásicos argentinos - VOL 27,tango,0,0.0,0.0,190000,/home/hoonakker/media/tango-propres-HQ/TANGO/CARLOS DANTE/0-La Pastora-CARLOS DANTE-LOS CLASICOS ARGENTINOS - VOL 27-TANGO.mp3,236,187749,Unknown,Unknown,Unknown,2146,3043456
Vieja Luna,Carlos Dante,Los clásicos argentinos - VOL 26,tango,0,0.0,0.0,181300,/home/hoonakker/media/tango-propres-HQ/TANGO/CARLOS DANTE/0-Vieja Luna-CARLOS DANTE-LOS CLASICOS ARGENTINOS - VOL 26-TANGO.mp3,1481,178308,Unknown,Unknown,Unknown,2147,2904192
